code,name,gender,function,country_code,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,lang,coach,sporting_relatives
1532872,ALEKSANYAN Artur,Male,Athlete,ARM,ARM,0,0,['Wrestling'],"[""Men's Greco-Roman 97kg""]",10/21/91,GYUMRI,Armenia,GYUMRI,Armenia,White Bear,Playing and watching football,Athlete,"Graduated from Shirak State University (Gyumri, ARM)","Armenian, English, Russian","Gevorg Aleksanyan (ARM), father",
1532873,AMOYAN Malkhas,Male,Athlete,ARM,ARM,0,0,['Wrestling'],"[""Men's Greco-Roman 77kg""]",1/22/99,YEREVAN,Armenia,YEREVAN,Armenia,,,,,Armenian,,"Uncle, Roman Amoyan (wrestling), 2008 Olympic bronze medallist and two-time European champion in Greco-Roman"
1532874,GALSTYAN Slavik,Male,Athlete,ARM,ARM,0,0,['Wrestling'],"[""Men's Greco-Roman 67kg""]",12/21/96,,,YEREVAN,Armenia,,,,,Armenian,Personal: Martin Alekhanyan (ARM).<br>National: Armen Babalaryan (ARM),
1532944,HARUTYUNYAN Arsen,Male,Athlete,ARM,ARM,0,0,['Wrestling'],"[""Men's Freestyle 57kg""]",11/22/99,MASIS,Armenia,YEREVAN,Armenia,,,Athlete,Graduated with a Master's degree from the Armenian State Institute of Physical Culture and Sport (2023),Armenian,National: Habetnak Kurghinyan,
1532945,TEVANYAN Vazgen,Male,Athlete,ARM,ARM,0,0,['Wrestling'],"[""Men's Freestyle 65kg""]",10/27/99,POKR VEDI,Armenia,,Armenia,,,Athlete,"Studied at the Armenian State Institute of Physical Culture and Sport (Yerevan, ARM)","Armenian, Russian",National: Habetnak Kurghinyan (ARM),
1532951,ARENAS Lorena,Female,Athlete,COL,COL,162,0,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",9/17/93,PEREIRA,Colombia,MELBOURNE,Australia,,,Athlete,"Physical Education at Jaime Isaza Cadavid Colombian Polytechnic, Medellin (COL)",Spanish,Personal: Brent Vallance (AUS),
1533112,McKENZIE Ashley,Male,Athlete,JAM,JAM,0,0,['Judo'],['Men -60 kg'],7/17/89,LONDON,Great Britain,CAMBERLEY,Great Britain,Bad Boy,Music,Athlete,,English,Personal and National: Luke Preston (GBR),
1533136,BASS BITTAYE Gina Mariam,Female,Athlete,GAM,GAM,161,0,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",5/3/95,TUBAKUTA,Gambia,,,Earlier in her career she was nicknamed the 'Poor Olympian' due to the financial challenges she faced,,"Athlete, police officer (sub-inspector)",,"English, French",Personal: Christophe Belliard (FRA),
1533176,CAMARA Ebrahima,Male,Athlete,GAM,GAM,178,0,['Athletics'],"[""Men's 100m""]",9/18/96,BUNDUNG,Gambia,ANGERS,France,,"Running, watching movies, football, chatting with friends","Athlete, prison officer",,"Arabic, English, French, Mandinka, Wolof",Personal: Christophe Belliard (FRA),
1533188,RUEDA SANTOS Lizeth,Female,Athlete,MEX,MEX,0,0,['Triathlon'],"[""Women's Individual""]",3/7/94,GUADALAJARA,Mexico,XALAPA,Mexico,,,Athlete,Studied Medicine at the University of Guadalajara (MEX),Spanish,Personal: Eugenio Chimal (MEX),
1533189,TAPIA VIDAL Rosa Maria,Female,Athlete,MEX,MEX,0,0,['Triathlon'],"[""Women's Individual""]",8/27/97,HERMOSILLO,Mexico,GUADALAJARA,Mexico,,,Athlete,"Nutrition - Universidad La Salle Noroeste, Ciudad Obregon, Mexico","English, Spanish",Luis Miguel Chávez Rincón,
1533190,GRAJALES Crisanto,Male,Athlete,MEX,MEX,0,0,['Triathlon'],"[""Men's Individual""]",5/6/87,XALAPA,Mexico,XALAPA,Mexico,"Diamante Negro (Black Diamond), Martillo Xalapeno (Hammer from Xalapa, given to him by Spanish triathlete Javier Gomez Noya)","Music, films",Athlete,Sport Studies - University of Veracuz (MEX),Spanish,Personal: Eugenio Chimal (MEX),
1533208,MAAROUFOU Hachim,Male,Athlete,COM,COM,183,0,['Athletics'],"[""Men's 100m""]",2/13/97,MARSEILLE,France,MARSEILLE,France,,,Athlete,,French,Personal: Franck Ne (FRA),
1533209,SAADI Maesha,Female,Athlete,COM,COM,0,0,['Swimming'],"[""Women's 50m Freestyle""]",1/16/07,VIENNE,France,SAINT-ROMAIN-EN-GAL,France,,,"Athlete, student",,French,Personal: Marc-Olivier Froger,
1533230,DIOSDADO Nuria,Female,Athlete,MEX,MEX,0,0,['Artistic Swimming'],"['Team', 'Duet']",8/22/90,GUADALAJARA,Mexico,MEXICO CITY,Mexico,"Nutria (""Otter"" in Spanish)","Spending time with friends, playing the piano, going to the cinema","Athlete, sport soldier","Studied Business Administration at Anahuac University (MEX) and later completed two Master's Degrees in Marketing and Public Image at the College of Public Image (Mexico City, MEX)",Spanish,National: Adriana Loftus (MEX),
1533231,JIMENEZ Joana,Female,Athlete,MEX,MEX,0,0,['Artistic Swimming'],"['Team', 'Duet']",8/19/93,ECATEPEC DE MORELOS,Mexico,MEXICO CITY,Mexico,Joa,Dancing,"Athlete, sport soldier","Studied undergrad Psychology at the University of Latin America (Mexico City, MEX) and completed her Master's degree in the same subject at the Technological University of Mexico (Mexico City)",Spanish,National: Adriana Loftus (MEX),
1533232,SOBRINO Jessica,Female,Athlete,MEX,MEX,0,0,['Artistic Swimming'],['Team'],5/26/94,MEXICO CITY,Mexico,MEXICO CITY,Mexico,,"Going to the movies, going to restaurants",Athlete,"Studied Business Administration at the Autonomous University of Mexico State (Toluca, MEX)",Spanish,National: Adriana Loftus (MEX),"Uncle, Salvador ""Chava"" Sabrino (diving), finished 11th in the 10m platform event at the 1980 Olympic Games and is head coach for the Australian national team"
1533234,ALFEREZ Regina,Female,Athlete,MEX,MEX,0,0,['Artistic Swimming'],['Team'],12/1/97,,,MEXICO CITY,Mexico,,"Travel, photography, cooking, spending time with friends",Athlete,"Studied at Tecmilenio University (Monterrey, MEX)",Spanish,National: Adriana Loftus (MEX),
1533235,ARELLANO Fernanda,Female,Athlete,MEX,MEX,0,0,['Artistic Swimming'],['Team'],2/28/02,,,MEXICO CITY,Mexico,,,"Athlete, student","Studies at the University of the Valley of Mexico Coyoacan-Tlalpan (Mexico City, MEX)",Spanish,National: Adriana Loftus (MEX),"Partner, Iker Casas (taekwondo), won a bronze medal at the 2018 Central American and Caribbean Games (63kg) and a silver at the 2021 Pan American Championships (68kg)"
1533237,TOSCANO Pamela,Female,Athlete,MEX,MEX,0,0,['Artistic Swimming'],['Team'],1/13/00,,,GUADALAJARA,Mexico,,Choreography,"Athlete, sport soldier","Studied Business Administration at Anahuac University (Mexico City, MEX)",Spanish,National: Adriana Loftus (MEX),
1533239,GONZALEZ Itzamary,Female,Athlete,MEX,MEX,0,0,['Artistic Swimming'],['Team'],11/14/03,,,,,,,Athlete,,Spanish,National: Adriana Loftus (MEX),
1533240,RODRIGUEZ Samanta,Female,Athlete,MEX,MEX,0,0,['Artistic Swimming'],['Team'],12/5/94,,,,,Samanta,,Athlete,,Spanish,National: Adriana Loftus (MEX),
1533243,INZUNZA Glenda,Female,Alternate Athlete,MEX,MEX,0,0,['Artistic Swimming'],['Team'],3/12/00,,,,,,,,,,,
1533245,SEHEN Sajjad,Male,Athlete,IRQ,IRQ,0,0,['Judo'],['Men -81 kg'],3/8/96,,Iraq,,Iraq,,,,,Arabic,,
1533359,RUBAIAWI Ali Ammar Yusur,Male,Athlete,IRQ,IRQ,0,0,['Weightlifting'],"[""Men's +102kg""]",8/2/04,,,BAGHDAD,Iraq,,,Athlete,,Arabic,,
1533364,ISMAIL Mohamed,Male,Athlete,DJI,DJI,170,0,['Athletics'],"[""Men's 5000m""]",1/1/97,,Djibouti,ALI SABIEH,Djibouti,Fatah,,"Athlete, sport soldier",,"French, Somali",Personal: Hussein Shibo (ETH),
1533371,HASSAN Ibrahim,Male,Athlete,DJI,DJI,170,0,['Athletics'],"[""Men's Marathon""]",1/1/97,,,,Djibouti,Ougas,,"Athlete, soldier with the Djiboutian Republican Guard",,Somali,,
1533372,WAISS Abdi,Male,Athlete,DJI,DJI,170,0,['Athletics'],"[""Men's 5000m""]",7/3/96,,Djibouti,,,,,"Athlete, sport soldier",,"French, Somali",Personal: Hussein Shibo (ETH),
1533374,HASSAN NOUR Samiyah,Female,Athlete,DJI,DJI,160,0,['Athletics'],"[""Women's 5000m""]",12/5/99,,,,,,,"Athlete, sport soldier",,,Personal: Hussein Shibo (ETH),
1533378,HOUSSEIN BARKAT Houmed,Male,Athlete,DJI,DJI,0,0,['Swimming'],"[""Men's 50m Freestyle""]",4/4/04,,,DJIBOUTI,Djibouti,,,,,"English, French",,
1535180,BARAT Andy,Male,Athlete,COM,COM,0,0,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]",11/29/97,ANJOUAN,Comoros,,France,,,,,French,Personal: Lukas Jacob,
1535186,MARTINEZ RAMIREZ Miguel Angel,Male,Athlete,MEX,MEX,178,0,['Boxing'],"[""Men's 63.5kg""]",3/17/01,DURANGO,Mexico,,Mexico,Piolin,,,,Spanish,,
1535187,VERDE ALVAREZ Marco Alonso,Male,Athlete,MEX,MEX,180,0,['Boxing'],"[""Men's 71kg""]",2/11/02,MAZATLAN,Mexico,MAZATLAN,Mexico,Green,,,,Spanish,Personal: Radames Hernandez (MEX),"Father, Manuel Verde (boxing), competed for Mexico in the men's light heavyweight division at the Barcelona 1992 Olympic Games"
1535191,GONZALEZ Alegna,Female,Athlete,MEX,MEX,158,0,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",1/2/99,OJINAGA,Mexico,MEXICO CITY,Mexico,,,"Athlete, serves in the navy","Graduated in 2021 with a degree in Sports Science from Universidad La Salle, Mexico City (MEX). Plans to pursue a Master's degree in Political Science",Spanish,"Personal: Ignacio Zamudio (MEX), 1996 Olympian",
1535195,LOPEZ Jesus Tonatiu,Male,Athlete,MEX,MEX,190,0,['Athletics'],"[""Men's 800m""]",8/2/97,HERMOSILLO,Mexico,HERMOSILLO,Mexico,Tona,"Reading, listening to music, puzzles",Athlete,"Sport Studies at University of Sonora (Hermosillo, MEX)",Spanish,Personal: Conrado Soto (MEX),
1535199,PORTILLO Erick,Male,Athlete,MEX,MEX,190,0,['Athletics'],"[""Men's High Jump""]",10/5/00,CHIHUAHUA,Mexico,MEXICO CITY,Mexico,El flaco (the slim one),,Athlete,,Spanish,Personal: Lazaro Paz (CUB),"Brother Jair (athletics), 2024 National Championships high jump silver medallist"
1535201,MUNOZ Uziel,Male,Athlete,MEX,MEX,185,0,['Athletics'],"[""Men's Shot Put""]",9/8/95,NUEVO CASAS GRANDES,Mexico,MONTERREY,Mexico,,,Athlete,Graduated with a Bachelor's degree in Business Administration from the Autonomous University of Ciudad Juarez (MEX),Spanish,Personal: Alejandro Laberdesque (CUB),
1535202,del REAL Diego,Male,Athlete,MEX,MEX,185,0,['Athletics'],"[""Men's Hammer Throw""]",3/6/94,MONTERREY,Mexico,MONTERREY,Mexico,The Cat. El Thor Mexicano (the Mexican Thor),,Athlete,"Nuevo Leon State Autonomous University (San Nicolas de los Garza, MEX)","English, Spanish",Personal: Alejandro Laberdesque (CUB),
1535203,DOCTOR Jose Luis,Male,Athlete,MEX,MEX,175,0,['Athletics'],"[""Men's 20km Race Walk""]",6/14/96,HUIXQUILUCAN,Mexico,MEXICO CITY,Mexico,,,Athlete,,Spanish,"Personal: Raul Gonzalez (MEX), four-time Olympian and two-time 1984 Olympic race walk medallist",
1535212,MORAN Paola,Female,Athlete,MEX,MEX,169,0,['Athletics'],"[""Women's 400m""]",2/25/97,GUADALAJARA,Mexico,GUADALAJARA,Mexico,,"Reading, watching television and walking her dog. Loves tacos",Athlete,"Graduated in 2022 with a Bachelor's degree in Nutrition and General Well-being from the Monterrey Institute of Technology and Higher Education (Guadalajara, MEX)",Spanish,Personal: Luis Montes Leon (MEX),
1535214,GALVAN Laura,Female,Athlete,MEX,MEX,162,0,['Athletics'],"[""Women's 5000m""]",10/5/91,LA SAUCEDA,Mexico,GUANAJUATO,Mexico,The Gazelle from La Sauceda (her hometown),"Loves chilaquiles, a Mexican breakfast dish, and listening to podcasts",Athlete,"Graduated in 2016 with a Bachelor's degree in Food Science and Industry from Kansas State University, Manhattan, KS (USA)","English, Spanish",Personal: Cecilio Blancarte (MEX),
1535216,CORTES Alma Delia,Female,Athlete,MEX,MEX,160,0,['Athletics'],"[""Women's 5000m""]",12/26/97,TULTITLAN,Mexico,TULTITLAN,Mexico,,,Athlete,"Graduated with a Bachelor's degree in Criminology at Centro Universitario de  Cuautitlan, Cuautitlan (MEX)",Spanish,Personal: Martin Nunez (MEX),
1535217,CRISTIAN MOSCOTE Citlali,Female,Athlete,MEX,MEX,154,0,['Athletics'],"[""Women's Marathon""]",4/15/95,SAN JUAN DE LOS LAGOS,Mexico,ZAPOPAN,Mexico,,,Athlete,Studies Marketing at University of Guadalajara (MEX),Spanish,Personal: Cristobal Herrera (MEX),
1535222,PALMA OLIVARES Ever Jair,Male,Athlete,MEX,MEX,168,0,['Athletics'],['Marathon Race Walk Relay Mixed'],3/18/92,ZIT?CUARO,Mexico,,Mexico,,"Travelling, learning about foreign cultures.</p><p>Started learning French for nine months ahead of the 2024 Paris Olympic Games, but upon his arrival in Paris, realised that the language is more complicated than expected. ""It's not easy at all, but you try."" (esto.com.mx, 26 Jul 2024)","Athlete, entrepreneur",Business Administration - Universidad Anahuac Mexico North Campus (MEX),Spanish,"Personal: Adrian Palma (MEX), his brother","Brother, Isaac Palma (athletics), 2019 Pan American Race Walking Championships 50km race walk gold medallist"
1535225,OETLING RAMIREZ Elena,Female,Athlete,MEX,MEX,0,0,['Sailing'],"[""Women's Dinghy""]",4/18/93,CHAPALA,Mexico,CHAPALA,Mexico,,Reading,"Athlete, business owner",Sport Studies at University of Guadalajara (MEX),"English, German, Spanish","Tania Elías Calles (MEX), four-time Olympian. Noel Guerra",
1535226,AGUILAR CHAVEZ PEON Mariana,Female,Athlete,MEX,MEX,0,0,['Sailing'],"[""Women's Windsurfing""]",3/12/99,MEXICO CITY,Mexico,,Mexico,,,"Athlete, student",Monterrey Institute of Technology (MEX),Spanish,Personal: Marisa Chavez Peon,"Father, Enrique Aguilar Lozano (sailing), competed at the 1995 Pan American Games in Mar del Plata (ARG).</p><p>Uncle, Roberto Aguilar Lozano (sailing), also competed at the 1995 Pan American Games in Mar del Plata (ARG)"
1535252,LECHUGA ALANIS Kenia,Female,Athlete,MEX,MEX,0,0,['Rowing'],"[""Women's Single Sculls""]",6/26/94,SANTIAGO,Mexico,MEXICO CITY,Mexico,,,Armed Forces athlete,Studied Exercise Science at the Autonomous University of Nuevo Leon (MEX),Spanish,,
1535260,LOPEZ GARCIA Alexis,Male,Athlete,MEX,MEX,0,0,['Rowing'],"[""Lightweight Men's Double Sculls""]",5/1/97,SAN FELIPE,Mexico,MEXICO CITY,Mexico,,,Athlete,,Spanish,,
1535267,CARBALLO NIETO Miguel,Male,Athlete,MEX,MEX,0,0,['Rowing'],"[""Lightweight Men's Double Sculls""]",7/8/92,LA PAZ,Mexico,MEXICO CITY,Mexico,,,Athlete,,Spanish,,
1535310,BLANCO Luisa,Female,Athlete,COL,COL,0,0,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",11/18/01,"LOS ANGELES, CA",United States,"TUSCALOOSA, AL",,,,"Athlete, student","Has a Bachelor's degree in Political Science, studying for a Master’s degree in Communication Studies at the University of Alabama in Tuscaloosa (AL, USA)",English,Personal: Ashley Johnson (USA).<br>National: Diego Medina,
1535343,WILLARS VALDEZ Randal,Male,Athlete,MEX,MEX,0,0,['Diving'],"[""Men's 10m Platform"", ""Men's Synchronised 10m Platform""]",4/30/02,MEXICO CITY,Mexico,MEXICO CITY,Mexico,,,Armed forces athlete,,Spanish,Shi Qingying (CHN),
1535345,BERLIN REYES Kevin,Male,Athlete,MEX,MEX,0,0,['Diving'],"[""Men's 10m Platform"", ""Men's Synchronised 10m Platform""]",4/25/01,VERACRUZ,Mexico,MONTERREY,Mexico,,"Electronics, football, supporting Spanish football club Barcelona",Athlete,,Spanish,,
1535346,OROZCO LOZA Alejandra,Female,Athlete,MEX,MEX,0,0,['Diving'],"[""Women's 10m Platform"", ""Women's Synchronised 10m Platform""]",4/19/97,ZAPOPAN,Mexico,GUADALAJARA,Mexico,Ale,"Watching movies, spending time with family, music",Armed forces athlete,,Spanish,,
1535348,AGUNDEZ GARCIA Gabriela,Female,Athlete,MEX,MEX,0,0,['Diving'],"[""Women's 10m Platform"", ""Women's Synchronised 10m Platform""]",8/4/00,LA PAZ,Mexico,,Mexico,Gaby,,Armed forces athlete,,Spanish,,
1535349,OLVERA IBARRA Osmar,Male,Athlete,MEX,MEX,0,0,['Diving'],"[""Men's 3m Springboard"", ""Men's Synchronised 3m Springboard""]",6/5/04,MEXICO CITY,Mexico,,,,,,,,,
1535350,GARZA PEREZ Eugenio,Male,Athlete,MEX,MEX,0,0,['Equestrian'],"['Jumping Individual', 'Jumping Team']",7/23/96,MONTERREY,Mexico,"WELLINGTON, FL",United States,,,Athlete,"Degree in Business from University of Miami (Coral Gables, FL, USA)","English, Spanish",,"Father, David (equestrian), competed in jumping and went to Canada to train with Ian Millar"
1535351,FERNANDEZ Federico,Male,Athlete,MEX,MEX,0,0,['Equestrian'],"['Jumping Individual', 'Jumping Team']",3/28/68,"NAPALUCAN, PUEBLO",Mexico,MEXICO CITY,Mexico,,Travelling,In 2004 he launched Grupo SIM which offers business services to small and medium-sized companies in Mexico,Master's degree in Senior Business Management from Universidad Panamericana in Mexico City (MEX),"English, Spanish",,"Wife, Paola Amilibia (equestrian), represented Spain in jumping at the 2014 World Championships. She began representing Mexico in nations cup jumping competition in 2019. </p><p>Uncle, Fernando Senderos (equestrian), represented Mexico in jumping at the Olympic Games in 1976 and 1984, won individual gold and team silver at the 1975 Pan American Games"
1535354,de LARA OJEDA Miguel Alejandro,Male,Athlete,MEX,MEX,0,0,['Swimming'],"[""Men's 100m Breaststroke"", ""Men's 200m Breaststroke""]",8/9/94,TORRE?N,Mexico,"BLACKSBURG, VA",United States,,,,Graduated in Bachelor of Commerce and International Business at Tecmilenio University (MEX) in 2018,Spanish,"Club: Sergio Lopez (ESP), since January 2023",
1535356,MORENO Alexa,Female,Athlete,MEX,MEX,0,0,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",8/8/94,MEXICALI,Mexico,TIJUANA,Mexico,,"Anime, karaoke",Athlete,Architecture at University of the Valley of Mexico (MEX),"English, Spanish",Personal: Aldo Torres (MEX),
1535357,SANDOVAL Ahtziri,Female,Athlete,MEX,MEX,0,0,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",10/5/96,GUADALAJARA,Mexico,GUADALAJARA,Mexico,,,Athlete,,Spanish,Personal: Jose Adrian Meza Padilla (MEX),
1535358,FLORES Sofia,Female,Athlete,MEX,MEX,0,0,['Rhythmic Gymnastics'],['Group All-Around'],12/20/04,,Mexico,,Mexico,,,Athlete,,"English, Spanish",National: Blajaith Aguilar (MEX),
1535359,SALAZAR Kimberly,Female,Athlete,MEX,MEX,0,0,['Rhythmic Gymnastics'],['Group All-Around'],4/24/04,XALAPA,Mexico,,Mexico,Kiki,,Athlete,"Anahuac University (Mexico City, MEX)",Spanish,National: Blajaith Aguilar (MEX),
1535360,TEJEDA Adirem,Female,Athlete,MEX,MEX,0,0,['Rhythmic Gymnastics'],['Group All-Around'],6/21/02,,,,,,,Athlete,,Spanish,National: Blajaith Aguilar (MEX),
1535361,ALCOCER Dalia,Female,Athlete,MEX,MEX,0,0,['Rhythmic Gymnastics'],['Group All-Around'],1/2/04,MERIDA,Mexico,,Mexico,Dalita,,Athlete,,Spanish,National: Blajaith Aguilar (MEX),
1535362,GUTIERREZ Julia,Female,Athlete,MEX,MEX,0,0,['Rhythmic Gymnastics'],['Group All-Around'],9/13/07,MERIDA,Mexico,,Mexico,July,,Athlete,,Spanish,National: Blajaith Aguilar (MEX),
1535363,HERNANDEZ Emiliano,Male,Athlete,MEX,MEX,0,0,['Modern Pentathlon'],"[""Men's Individual""]",1/27/98,MEXICO CITY,Mexico,MEXICO CITY,Mexico,,"Playing football, watching movies",,"Studied Marketing at the University of the Incarnate Word (San Antonio, TX, USA), while competing on the university fencing team 2016-17","English, Spanish",Swimming: Isaac Cortes (MEX).<br>Running: Juan Luis Barrios (MEX).<br>Riding: Gabriela Hernandez (MEX).<br>Shooting: Rosario Alvarez (MEX).<br>Sports psychologist: Claudia Rivas (MEX),"Older brother, Ismail Hernandez (modern pentathlon), bronze medallist at Rio 2016, the first Mexican to win an Olympic medal in modern pentathlon"
1535364,CARRILLO Duilio,Male,Athlete,MEX,MEX,0,0,['Modern Pentathlon'],"[""Men's Individual""]",3/24/97,GUADALAJARA,Mexico,MEXICO CITY,Mexico,,Folk dancing (he is member of the Mexican Folk Dance Company),Armed Forces athlete,"Studied Business Administration at Anahuac University (Mexico City, MEX)",Spanish,,
1535365,OLIVER Mayan,Female,Athlete,MEX,MEX,0,0,['Modern Pentathlon'],"[""Women's Individual""]",7/11/93,,Mexico,CUAUTITLAN IZCALLI,Mexico,,,,,Spanish,Club: Isaac Cortes Garcia (MEX),"Sister, Catherine (modern pentathlon), younger by eight years. Finished second in the 2023 Pan American Games (behind Mayan) and completed a podium sweep for Mexico at the 2023 Central American and Caribbean Games coming third behind Mayan and Mariana Arceo"
1535366,SANSORES Carlos,Male,Athlete,MEX,MEX,0,0,['Taekwondo'],['Men +80kg'],6/25/97,CANCUN,Mexico,CANCUN,Mexico,,,Athlete,"Studied at Anahuac University (Mexico City, MEX)",Spanish,National: Alfonso Victoria (MEX),
1535367,SOUZA Daniela Paola,Female,Athlete,MEX,MEX,0,0,['Taekwondo'],['Women -49kg'],8/27/99,"ZAPOPAN, JALISCO",Mexico,TIJUANA,Mexico,,,Military athlete,"Graduated in 2023 with a degree in Business Administration from Anáhuac University (Mexico City, MEX)",Spanish,National: Abel Mendoza (MEX),
1535368,CLELAND QUINONEZ Alan,Male,Athlete,MEX,MEX,0,0,['Surfing'],['Men'],6/19/02,BOCA DE PASCUALES,Mexico,AVECES,Mexico,Chango,,Athlete,,"England, Spanish",Guillermo ‘Macaco’ Mendez (MEX),
1535373,GRIGORIAN Aram,Male,Athlete,UAE,UAE,0,0,['Judo'],['Men -90 kg'],6/9/98,MOSCOW,Russian Federation,MOSCOW,Russian Federation,,Fishing and cinema,Athlete,,Russian,National: Victor Scvortov (MDA).</p><p>Victor Astakhov (RUS).<br>Dmitry Kletskov (RUS).<br>Rudolf Mikhailovich Baboyan (RUS).<br>Ervand Mgdsyan (RUS),"""I have two sisters. Both are masters of sport in sambo and judo. <br>My father is a master of sports in Greco-Roman wrestling and my uncle is a master of sports in boxing."" (Athlete, 28 Jun 2024)"
1535374,KOSTOEV Dzhafar,Male,Athlete,UAE,UAE,0,0,['Judo'],['Men -100 kg'],4/28/99,"NAZRAN, INGUSHETIA",Russian Federation,ABU DHABI,UA Emirates,,,Athlete,,"Arabic, Russian",National: Victor Scvortov (MDA),
1535375,MAGOMEDOMAROV Magomedomar,Male,Athlete,UAE,UAE,0,0,['Judo'],['Men +100 kg'],4/10/01,,Russian Federation,,UA Emirates,,,Athlete,,Russian,National: Victor Scvortov (MDA),
1535376,TATALASHVILI Nugzari,Male,Athlete,UAE,UAE,0,0,['Judo'],['Men -81 kg'],3/20/90,TBILISI,Georgia,GORI,Georgia,Bacho,Sports cars,,,"English, Georgian, Russian",Victor Scvortov (MDA),
1535383,BISHRELT Khorloodoi,Female,Athlete,UAE,UAE,0,0,['Judo'],['Women -52 kg'],5/29/98,ARVAIKHEER,Mongolia,ULAANBAATAR,Mongolia,"Hoogii. ""My foreign friends called me Hoogii because they couldn’t pronounce my full name."" (Athlete, 19 Apr 2024)","Riding horses and dancing. ""I dance very well but I'm shy."" (Athlete, 19 Apr 2024)",,,Mongolian,National: Victor Scvortov (UAE/MDA)<br>Personal: Khishigbat Erdenet-Od (MGL),
1535385,HOUSSEIN Alexandre,Male,Athlete,DJI,DJI,0,0,['Judo'],['Men -73 kg'],3/28/98,COMPI?GNE,France,PARIS,France,,"Sports, history, travelling","Athlete, student","Graduated in 2021 at Grenoble Ecole de Management, Technology and Innovation, Paris (FRA).</p><p>Studied at CFA Universite et Sports, Paris (FRA)","English, French, Spanish",Michel Lebrun (FRA),
1535395,AL SAYEGH Safia,Female,Athlete,UAE,UAE,0,0,['Cycling Road'],"[""Women's Road Race""]",9/23/01,,,,,,,"Athlete, student","Studying Graphic Design at American University (Dubai, UAE)","Arabic, English",,"Father, Mukhtar Al Sayegh (football), played at club level in the United Arab Emirates"
1535420,VALENCIA Alejandra,Female,Athlete,MEX,MEX,0,0,['Archery'],"[""Women's Individual"", ""Women's Team"", 'Mixed Team']",10/17/94,HERMOSILLO,Mexico,HERMOSILLO,Mexico,,"Playing the violin, listening to music, singing, drawing, surfing the internet, watching movies, reading","Athlete, sport soldier",Studied Graphic Design at the University of Sonora (MEX),Spanish,National/personal: Miguel Angel Flores (MEX),
1535429,RUIZ Angela,Female,Athlete,MEX,MEX,0,0,['Archery'],"[""Women's Individual"", ""Women's Team""]",7/28/06,,,MEXICO CITY,Mexico,Angy,,"Athlete, student",,"English, Spanish","National: Miguel Angel Flores (MEX).<br>Personal: Miguel Barcenas (MEX), Eduardo Magana (MEX)",
1535430,GRANDE Matias,Male,Athlete,MEX,MEX,0,0,['Archery'],"[""Men's Individual"", ""Men's Team"", 'Mixed Team']",4/26/04,GUANAJUATO,Mexico,MEXICO CITY,Mexico,,,"Athlete, student",Studies Business Administration virtually through the Autonomous University of Coahuila (MEX),Spanish,National: David Alejandro Velez Sanchez (MEX),
1535433,PRIETO Marcela,Female,Athlete,MEX,MEX,0,0,['Cycling Road'],"[""Women's Road Race""]",3/11/92,AGUASCALIENTES,Mexico,,,,,Athlete,,Spanish,,
1535438,RAMIREZ RAMOS Edson Ismael,Male,Athlete,MEX,MEX,0,0,['Shooting'],"['10m Air Rifle Men', '10m Air Rifle Mixed Team']",7/10/00,CIUDAD VICTORIA,Mexico,SALTILLO,Mexico,El Chino,,"Athlete, student",,Spanish,Personal: Blas Ruiz (MEX),
1535439,RODRIGUEZ Gabriela,Female,Athlete,MEX,MEX,0,0,['Shooting'],['Skeet Women'],12/12/96,NUEVO LEON,Mexico,SALTILLO,Mexico,"Gaby, Gabi","Working out, hiking",Athlete,"Studied Clinical Psychology at the Monterrey Institute of Technology and Higher Education (Monterrey, MEX). Now studying for a Master's in Psychotherapy","English, Spanish","National: Ariel Mauricio Flores (MEX).<br>Personal: Pietro Genga (ITA), Javier Rodríguez (MEX) - her father","Father, Javier Rodriquez (shooting), competed in skeet at the London 2012 Olympic Games. </p><p>Mother, Lucia Garza (triathlon), competed at international level"
1535440,ZAVALA VAZQUEZ Alejandra,Female,Athlete,MEX,MEX,0,0,['Shooting'],"['10m Air Pistol Women', '25m Pistol Women']",6/16/84,GUADALAJARA,Mexico,LEON,Mexico,,"Reading, music",Military athlete,,"English, Spanish",Personal: Tania Estrella Perez Ramos (CUB),
