code,name,gender,function,country_code,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,lang,coach,sporting_relatives
1893240,SMITH Ackelia,Female,Athlete,JAM,JAM,174,0,['Athletics'],"[""Women's Long Jump"", ""Women's Triple Jump""]",2/5/02,JAMES HILL,Jamaica,"AUSTIN, TX",United States,,,"Athlete, student","Studies Sustainability at the University of Texas (Austin, TX, USA)",English,"Coach: Edrick Floreal (CAN), two-time Olympian (1988 triple jump, 1992 long jump)",
1893252,TRACEY Adelle,Female,Athlete,JAM,JAM,170,0,['Athletics'],"[""Women's 1500m"", ""Women's 800m""]",5/27/93,"SEATTLE, WA",United States,LONDON,Great Britain,,,"Athlete, hair and makeup artist",Makeup studies at The Arts University Bournemouth (GBR),English,"Personal: Craig Winrow (GBR),1996 Olympian","Father Nicholas Tracey (athletics), ran 400m for Washington State at the National Collegiate Athletic Association (NCAA)"
1893271,WIET-HENIN Magda,Female,Athlete,FRA,FRA,0,0,['Taekwondo'],['Women -67kg'],8/31/95,NANCY,France,,France,,"Dancing, shopping, spending time with family, eating at restaurants, yoga, painting",Athlete,"Graduated in 2020 with a Master's degree in Labour Relations, Negotiations and Globalisation from Paris-East Creteil University (FRA)","English, French",,"Her parents were professional boxers and kickboxers. ""They never wanted me to do boxing - too rough. Taekwondo is more about strategy and spinning kicks, it is not as rough as boxing."" (insidethegames.biz, 4 Jun 2023)"
1893272,LAURIN Althea,Female,Athlete,FRA,FRA,0,0,['Taekwondo'],['Women +67kg'],9/1/01,EPINAY-SUR-SEINE,France,PARIS,France,,,Athlete,Studied Business Management at the University of Paris (FRA),French,,
1893274,RAVET Cyrian,Male,Athlete,FRA,FRA,0,0,['Taekwondo'],['Men -58kg'],9/5/02,LYON,France,LYON,France,,,Athlete,,"English, French",,
1893275,ALAPHILIPPE Souleyman,Male,Athlete,FRA,FRA,0,0,['Taekwondo'],['Men -68kg'],6/30/03,GENNEVILLIERS,France,PARIS,France,,,"Athlete, soldier",,"Arabic, English, French",,
1893402,LARRAZABAL Luis Fernando,Male,Athlete,VEN,VEN,0,0,['Equestrian'],['Jumping Individual'],10/10/92,,,"WELLINGTON, FL",United States,,,"Horse trainer, horse dealer","Lynn University, Boca Raton (FL, USA)","English, Spanish",,"Wife, Alexia Thermiotis (equestrian), has represented Venezuela in equestrian jumping. </p><p>Brother, Juan Larrazabal Simon (equestrian), represented Venezuela in equestrian eventing at the 2015 Pan American Games"
1893521,COBAS GARCIA Yariulvis,Female,Athlete,CUB,CUB,0,0,['Rowing'],"[""Women's Single Sculls""]",8/18/90,GUANT?NAMO,Cuba,HAVANA,Cuba,,,Athlete,Studied at Manuel Fajardo University of Physical Culture and Sports Sciences in Havana (CUB),Spanish,,
1893522,CARDONA BLANCO Reidy,Male,Athlete,CUB,CUB,0,0,['Rowing'],"[""Men's Single Sculls""]",9/20/95,,,,,,,Athlete,,Spanish,,
1893544,BADENHORST Paige,Female,Athlete,RSA,RSA,0,0,['Rowing'],"[""Women's Single Sculls""]",8/14/98,BENONI,South Africa,,,,,Athlete,"Graduated with a Bachelor's degree in the Environment from University of Michigan (Ann Arbor, MI, USA)",English,,
